NoOfWorkers,GraphClass time (s),GraphFrame time (s),dataset
2,0.0006043910980224609,0.018646240234375,ENGB
2,0.019882917404174805,0.011564970016479492,DE
3,0.0004267692565917969,0.009284496307373047,ENGB
3,0.019281625747680664,0.010223388671875,DE
4,0.0005440711975097656,0.011857748031616211,ENGB
4,0.020158767700195312,0.010314226150512695,DE
5,0.00044655799865722656,0.010093927383422852,ENGB
5,0.021704673767089844,0.03195500373840332,DE
6,0.00043702125549316406,0.011041641235351562,ENGB
6,0.014408588409423828,0.008894681930541992,DE
