NoOfWorkers,GraphClass time (s),GraphFrame time (s), dataset
2,0.017906665802001953,15.816995620727539,ENGB
2,0.03655409812927246,96.64561462402344,DE
3,0.018994808197021484,18.190645933151245,ENGB
3,0.06282544136047363,81.6668872833252,DE
4,0.021115779876708984,17.038374185562134,ENGB
4,0.037874460220336914,97.64344906806946,DE
5,0.019264936447143555,19.353548049926758,ENGB
5,0.06413626670837402,93.76303029060364,DE
6,0.018758773803710938,21.704362869262695,ENGB
6,0.04340491092382217,85.273492013944,DE
